# =============================================================================
# PDBbind refined set v2007, 1300 entries, updated on 06/06/2007
# Entries are sorted by pKd(pKi) in an increasing order
# PDB code, resolution, release year, pKd(pKi), Kd(Ki), reference, ligand name
# =============================================================================
1x8d  1.80  2005   2.21  Kd=6.16mM     // 1x8d.pdf (RNS)
1icj  1.90  1999   2.22  Ki=6mM        // 1icj.pdf (PGO)
1m0n  2.20  2002   2.22  Ki=6.0mM      // 1m0n.pdf (HCP)
2aac  1.60  1997   2.22  Kd=6mM        // 2aac.pdf (FCB)
1ajp  2.31  1997   2.23  Ki=5.85mM     // 1ai4.pdf (OMD)
1rdl  1.70  1996   2.24  Ki=5.7mM      // 1rdi.pdf (MMA)
1ew8  2.20  2002   2.26  Ki=5.5mM      // 1ew8.pdf (PAE)
1uto  1.15  2004   2.27  Kd=5.32mM     // 1utj.pdf (PEA)
1ps3  1.80  2003   2.28  Ki=5.2mM      // 1ps3.pdf (KIF)
1uxa  1.50  2004   2.30  Kd=5mM        // 1uxa.pdf (SIA-GAL)
3pcg  1.96  1998   2.30  Ki=5mM        // 3pcb.pdf (4HP)
1m0o  2.40  2002   2.31  Ki=4.9mM      // 1m0n.pdf (MPM)
1qi0  2.10  2000   2.35  Ki=4.5mM      // 1qi0.pdf (CBI)
6rnt  1.80  1993   2.37  Kd=4.3mM      // 6rnt.pdf (2AM)
1nwl  2.40  2003   2.39  Ki=4.1mM      // 1nwe.pdf (964)
3pcb  2.19  1998   2.40  Ki=4mM        // 3pcb.pdf (3HB)
1oba  2.45  2003   2.44  Kd=3.6mM      // 1oba.pdf (CHT)
1tok  1.85  2004   2.47  Kd=3.4mM      // 1tog.pdf (MAE)
1utl  1.70  2004   2.47  Kd=3.41mM     // 1utj.pdf (PRA)
1gyx  1.35  2002   2.48  Ki=3.3mM      // 1gyx.pdf (BEZ)
1ai4  2.35  1997   2.50  Ki=3.13mM     // 1ai4.pdf (HAA)
1gwv  2.50  2003   2.57  Kd=2.68mM     // 1gwv.pdf (LAT)
2c4v  2.50  2006   2.60  Ki=2.5mM      // 2c4v.pdf (CIT)
1ajn  2.36  1997   2.63  Ki=2.32mM     // 1ai4.pdf (AAN)
1o8b  1.25  2003   2.68  Ki=2.1mM      // 1o8b.pdf (ABF)
2fzc  2.10  2006   2.70  Ki=1990uM     // 2fzc.pdf (EOP)
1pfu  1.91  2004   2.72  Kd=1900uM     // 1p7p.pdf (MPJ)
2qwb  2.00  1998   2.74  Ki=1820uM     // 2qwb.pdf (SIA)
1rql  2.40  2004   2.75  Ki=1.79mM     // 1rql.pdf (VSO)
2bza  1.90  1999   2.80  Ki=1.58mM     // 1ce5.pdf (ABN)
1cet  2.05  1999   2.89  Ki=1.3mM      // 1cet.pdf (CLQ)
1iih  2.20  2001   2.89  Ki=1.3mM      // 1iig.pdf (3PG)
1ugp  1.63  2004   2.89  Ki=1.3mM      // 1ugp.pdf (BUA)
2fkf  2.00  2006   2.92  Kd=1.2mM      // 2fkf.pdf (G16)
2fw6  1.85  2006   2.92  Kd=1.2mM      // 2fw6.pdf (CIT)
2fwp  1.85  2006   2.92  Kd=1.2mM      // 2fw6.pdf (CIT)
1tng  1.80  1994   2.93  Ki=1.17mM     // 1tnh.pdf (AMC)
1f4e  1.90  2000   2.96  Ki=1.1mM      // 1f4c.pdf (TPR)
1ykp  2.41  2005   2.96  Kd=1100uM     // 1ykl.pdf (DHB)
2br6  1.70  2005   2.96  Ki=1.10mM     // 2br6.pdf (HSL)
1ecq  2.00  2000   3.00  Ki=1.0mM      // 1ec8.pdf (DXG)
1hqg  2.00  2001   3.00  Ki=1.0mM      // 1hqf.pdf (ORN)
1ux7  1.50  2004   3.00  Kd=1mM        // 1ux7.pdf (3-mer)
1ws4  1.90  2005   3.00  Kd=1.00mM     // 1ws4.pdf (GYP)
1utm  1.50  2004   3.01  Kd=0.972mM    // 1utj.pdf (PEA)
1ws5  1.90  2005   3.03  Kd=0.926mM    // 1ws4.pdf (MAM)
1uj5  2.00  2004   3.05  Ki=0.89mM     // 1uj5.pdf (R5P)
1uj6  1.74  2004   3.05  Ki=0.89mM     // 1uj5.pdf (A5P)
1y1z  1.50  2005   3.08  Ki=0.831mM    // 1y1m.pdf (192)
1af2  2.30  1997   3.10  Ki=0.8mM      // 1af2.pdf (__U)
1ec9  2.00  2000   3.10  Ki=0.8mM      // 1ec8.pdf (XYH)
1pu7  1.93  2003   3.10  Ki=0.8mM      // 1pu7.pdf (39A)
1pu8  2.13  2003   3.10  Ki=0.8mM      // 1pu7.pdf (EA1)
1ax0  1.90  1998   3.13  Kd=0.746mM    // 1ax0.pdf (NGA)
1e6q  1.35  2001   3.15  Ki=0.7mM      // 1e6q.pdf (NTZ)
1ro7  1.80  2004   3.18  Ki=657uM      // 1ro7.pdf (CSF)
1axz  1.95  1998   3.20  Kd=0.637mM    // 1ax0.pdf (GAL)
6tim  2.20  1992   3.21  Ki=0.61mM     // 6tim.pdf (G3P)
1br6  2.30  1998   3.22  Ki=0.6mM      // 1br5.pdf (PT1)
1e6s  1.35  2000   3.22  Ki=0.6mM      // 1e6q.pdf (GOX)
1ew9  2.00  2002   3.22  Ki=0.6mM      // 1ew8.pdf (MMQ)
1k1y  2.40  2003   3.22  Ki=0.6mM      // 1k1y.pdf (ACR)
1tog  2.31  2004   3.22  Kd=0.6mM      // 1tog.pdf (HCI)
1zc9  2.00  2006   3.22  Kd=0.6mM      // 1zc9.pdf (PMP)
1px4  1.60  2004   3.23  Ki=0.59mM     // 1px4.pdf (IPT)
1v2j  1.90  2004   3.25  Ki=566uM      // 1v2j.pdf (BEN)
5yas  2.20  1999   3.26  Ki=0.55mM     // 4yas.pdf (FAC)
1bcu  2.00  1998   3.28  Kd=0.53mM     // 1bcu.pdf (PRL)
1d7j  1.85  1999   3.30  Kd=500uM      // 1d7i.pdf (BUQ)
1pzp  1.45  2004   3.31  Ki=490uM      // 1pzo.pdf (FTA)
1pzo  1.90  2004   3.32  Ki=480uM      // 1pzo.pdf (CBT)
1jlr  2.45  2002   3.33  Kd=465uM      // 1jlr.pdf (GTP)
1tnh  1.80  1994   3.37  Ki=0.43mM     // 1tnh.pdf (FBA)
1v2u  1.80  2004   3.37  Ki=427uM      // 1v2j.pdf (BEN)
2fzg  2.25  2006   3.38  Ki=420uM      // 2fzc.pdf (EOB)
1toj  1.90  2004   3.39  Kd=0.41mM     // 1tog.pdf (HCI)
1bxr  2.10  1999   3.40  Ki=0.4mM      // 1bxr.pdf (ANP)
1ikt  1.75  2001   3.40  Kd=400uM      // 1ikt.pdf (OXN)
1jt1  1.78  2003   3.40  Ki=400uM      // 1jt1.pdf (MCO)
1l83  1.70  1993   3.40  Kd=0.40mM     // 1l83.pdf (BNZ)
1m83  2.20  2002   3.40  Kd=0.4mM      // 1m83.pdf (ATP)
1uz4  1.71  2004   3.40  Ki=400uM      // 1uz1.pdf (IFL)
220l  1.85  1998   3.40  Kd=0.4mM      // 220l.pdf (BNZ)
2sim  1.60  1994   3.42  Ki=0.38mM     // 2sim.pdf (DAN)
1moq  1.57  1998   3.46  Ki=0.35mM     // 1moq.pdf (GLP)
1c5o  1.90  2000   3.49  Ki=320uM      // 1c5l.pdf (BAM)
1gzc  1.58  2002   3.49  Kd=0.32mM     // 1gz9.pdf (LAT)
1utn  1.15  2004   3.49  Kd=0.321mM    // 1utj.pdf (ABN)
1gz9  1.70  2002   3.51  Kd=0.31mM     // 1gz9.pdf (FUC-LAT)
1imx  1.82  2001   3.52  Kd=300uM      // 1imx.pdf (CPQ)
1jys  1.90  2002   3.52  Ki=300uM      // 1jys.pdf (ADE)
1vjd  1.90  2004   3.54  Kd=0.286mM    // 1vjc.pdf (ATP)
1v2r  1.70  2004   3.55  Ki=278.96uM   // 1v2j.pdf (ANH)
2qwc  1.60  1998   3.55  Ki=280uM      // 2qwb.pdf (DAN)
1h46  1.52  2003   3.57  Ki=270uM      // 1h46.pdf (RNP)
1vjc  2.10  2004   3.58  Kd=0.263mM    // 1vjc.pdf (ATP)
1nli  1.93  2003   3.59  Kd=260uM      // 1nli.pdf (ADE)
2gsu  2.00  2006   3.59  Ki=260uM      // 2gsu.pdf (AMP)
1d7i  1.90  1999   3.60  Kd=250uM      // 1d7i.pdf (DSS)
2fzk  2.50  2006   3.60  Ki=250uM      // 2fzc.pdf (EOZ)
3jdw  2.40  1998   3.60  Ki=253uM      // 3jdw.pdf (ORN)
1pb9  1.60  2003   3.62  Ki=241uM      // 1pb8.pdf (4AX)
3pcc  1.98  1998   3.62  Ki=240uM      // 3pcb.pdf (PHB)
1gyy  1.35  2002   3.64  Ki=230uM      // 1gyx.pdf (FHC)
2azr  2.00  2005   3.64  Ki=230uM      // 2azr.pdf (982)
3pcn  2.40  1998   3.66  Kd=220uM      // 3pcn.pdf (DHY)
1c3x  2.40  1999   3.68  Ki=210uM      // 1c3x.pdf (8IG)
1qsc  2.40  1999   3.68  Kd=210uM      // 1qsc.pdf (7-mer)
2a8g  1.99  2006   3.69  Kd=205uM      // 2a5b.pdf (GNG)
1fwu  1.90  2001   3.70  Kd=0.20mM     // 1fwu.pdf (3-mer)
1gz3  2.30  2003   3.70  Ki=0.20mM     // 1gz3.pdf (ATP)
1gz4  2.20  2002   3.70  Ki=0.2mM      // 1gz4.pdf (ATP)
1loq  1.50  2002   3.70  Ki=0.2mM      // 1lol.pdf (__U)
1pdz  2.20  1995   3.70  Ki=0.2mM      // 1pdz.pdf (PGA)
1wht  2.00  1994   3.70  Ki=0.2mM      // 1wht.pdf (BZS)
2bjm  2.15  2005   3.70  Kd=200uM      // 2bjm.pdf (ANF)
2bmz  2.40  2005   3.70  Kd=0.2mM      // 2bmz.pdf (XLM)
2fx6  1.57  2006   3.70  Ki=200uM      // 2fpz.pdf (270)
1ai5  2.36  1997   3.72  Ki=0.189mM    // 1ai4.pdf (MNP)
1fwv  2.20  2001   3.72  Kd=0.19mM     // 1fwu.pdf (3-mer)
1grp  2.50  1996   3.72  Ki=0.189mM    // 1grp.pdf (ICT)
2am4  1.70  2006   3.72  Ki=190uM      // 2am3.pdf (U2F)
4tln  2.30  1982   3.72  Ki=190uM      // 4tln.pdf (LNO)
1f5k  1.80  2001   3.74  Ki=180uM      // 1f5k.pdf (BAM)
1li6  2.00  2002   3.80  Kd=0.16mM     // 1lgw.pdf (5MP)
1nje  2.30  1996   3.80  Kd=160uM      // 1nja.pdf (DCM)
2hb1  2.00  2006   3.80  Ki=160uM      // 2h4g.pdf (512)
2hu6  1.32  2006   3.81  Kd=154uM      // 2hu6.pdf (37A)
1r0x  2.20  2003   3.83  Kd=149uM      // 1q3h.pdf (ATP)
1j16  1.60  2002   3.84  Ki=143uM      // 1j14.pdf (BEN)
1utj  1.83  2004   3.84  Kd=0.144mM    // 1utj.pdf (ABN)
1n1t  1.60  2003   3.85  Ki=140uM      // 1n1t.pdf (DAN)
1aj7  2.10  1997   3.87  Kd=135uM      // 1aj7.pdf (NPE)
1v16  1.90  2004   3.87  Kd=134.8uM    // 1v11.pdf (TDP)
1m0q  2.00  2002   3.89  Ki=0.13mM     // 1m0n.pdf (EPC)
2ctc  1.40  1994   3.89  Ki=0.13mM     // 2ctc.pdf (LOF)
1avn  2.00  1997   3.90  Kd=0.125mM    // 1avn.pdf (HSM)
1slg  1.76  1996   3.90  Kd=125uM      // 1slg.pdf (7-mer)
2gvv  1.73  2006   3.90  Ki=125uM      // 2gvv.pdf (DI9)
2rkm  1.80  1997   3.90  Ki=125uM      // 2rkm.pdf (LYS-LYS)
1pr5  2.50  2003   3.92  Ki=120uM      // 1pk7.pdf (TBN)
2a5b  2.49  2006   3.93  Kd=117uM      // 2a5b.pdf (8HG)
2cbz  1.50  2006   3.93  Kd=118uM      // 2cbz.pdf (ATP)
1v1m  2.00  2004   3.94  Kd=115.0uM    // 1v11.pdf (TDP)
1z3t  1.70  2005   3.94  Kd=115uM      // 1z3t.pdf (CBI)
1mrs  2.00  2003   3.96  Ki=110uM      // 1mrn.pdf (5HU)
1x9d  1.41  2005   3.96  Kd=110uM      // 1x9d.pdf (SMD)
2fpz  2.00  2006   3.96  Ki=110uM      // 2fpz.pdf (270)
1v11  1.95  2004   3.98  Kd=104.8uM    // 1v11.pdf (TDP)
2g8r  1.70  2006   3.99  Ki=103uM      // 2g8r.pdf (N3E)
1lgw  1.85  2002   4.00  Kd=100uM      // 1lgw.pdf (1AN)
1nu3  1.75  2003   4.00  Ki=100uM      // 1nu3.pdf (VPR)
1tni  1.90  1994   4.00  Ki=0.10mM     // 1tnh.pdf (PBN)
1wc1  1.93  2004   4.00  Ki=0.1mM      // 1wc1.pdf (TAT)
1c5z  1.85  2000   4.01  Ki=97uM       // 1c5l.pdf (BAM)
1v2w  1.75  2004   4.01  Ki=97.79uM    // 1v2j.pdf (ANH)
1hi5  1.80  2001   4.04  Ki=92uM       // 1hi3.pdf (ADP)
1li2  2.00  2002   4.04  Kd=91uM       // 1lgw.pdf (IPH)
2c02  2.00  2006   4.04  Ki=92uM       // 2bzz.pdf (ADP)
1awi  2.20  1998   4.05  Kd=90uM       // 1awi.pdf (10-mer)
1r4w  2.50  2004   4.05  Kd=90uM       // 1r4w.pdf (GSH)
1toi  1.90  2004   4.05  Kd=0.090mM    // 1tog.pdf (HCI)
1tuf  2.40  2004   4.05  Ki=89uM       // 1tuf.pdf (AZ1)
1gj4  1.81  2002   4.07  Ki=85uM       // 1o2g.pdf (132)
1hyo  1.30  2001   4.07  Ki=84.8uM     // 1hyo.pdf (HBU)
1n2v  2.10  2003   4.08  Ki=83uM       // 1n2v.pdf (BDI)
1y2g  1.90  2005   4.08  Kd=83.1uM     // 1y2f.pdf (CL3)
1ai7  2.50  1997   4.09  Ki=0.082mM    // 1ai4.pdf (IPH)
1jn2  1.90  2003   4.09  Kd=82uM       // 1jn2.pdf (SFP)
1o0n  1.50  2003   4.09  Ki=82uM       // 1o0f.pdf (U3P)
1c5t  1.37  2000   4.10  Ki=80uM       // 1c5l.pdf (ESP)
1odj  2.40  2003   4.10  Kd=80uM       // 1odi.pdf (GMP)
1rzx  2.10  2004   4.10  Kd=80uM       // 1rzx.pdf (7-mer)
1p19  2.30  2004   4.11  Kd=76.8uM     // 1p17.pdf (IMP)
1z3v  1.61  2005   4.11  Kd=77uM       // 1z3t.pdf (LAT)
1v2q  2.30  2004   4.13  Ki=73.62uM    // 1v2j.pdf (ANH)
1gny  1.63  2001   4.14  Kd=73uM       // 1gny.pdf (5-mer)
1m2x  1.50  2003   4.15  Ki=70uM       // 1m2x.pdf (MCO)
1q91  1.60  2004   4.15  Ki=70uM       // 1q91.pdf (DPB)
2toh  2.30  1999   4.15  Ki=70uM       // 2toh.pdf (HBI)
1v2s  1.72  2004   4.17  Ki=68uM       // 1v2j.pdf (BEN)
1hi3  1.80  2001   4.19  Ki=64uM       // 1hi3.pdf (A2P)
1c5y  1.65  2000   4.20  Ki=63uM       // 1c5l.pdf (ESP)
1c87  2.10  2000   4.20  Ki=63uM       // 1c86.pdf (OPA)
1ghw  1.75  2002   4.20  Ki=63uM       // 1o2g.pdf (BMZ)
1ulg  2.20  2004   4.21  Kd=62.2uM     // 1ulf.pdf (GAL-NGA)
1kv5  1.65  2002   4.22  Ki=60uM       // 1kv5.pdf (PGA)
1pzi  1.99  2004   4.22  Kd=60uM       // 1pzi.pdf (1DM)
1t5f  2.20  2005   4.22  Ki=60uM       // 1t5f.pdf (DHH)
1ua4  1.90  2004   4.22  Ki=0.06mM     // 1ua4.pdf (AMP)
1li3  1.85  2002   4.25  Kd=56uM       // 1lgw.pdf (3CH)
1m5w  1.96  2003   4.27  Kd=54uM       // 1m5w.pdf (DXP)
1e2l  2.40  2000   4.29  Ki=51.5uM     // 1e2k.pdf (TMC)
1v2l  1.60  2004   4.29  Ki=51uM       // 1v2j.pdf (BEN)
1a30  2.00  1998   4.30  Ki=50uM       // 1a30.pdf (3-mer)
1det  1.80  1996   4.30  Kd=50uM       // 1det.pdf (2GP)
1z95  1.80  2005   4.30  Ki=50uM       // 1z95.pdf (198)
1ajq  2.05  1997   4.31  Ki=0.049mM    // 1ai4.pdf (SPA)
1rgk  1.87  1993   4.31  Kd=49.1uM     // 1rgk.pdf (2AM)
2tpi  2.10  1982   4.31  Kd=49uM       // 2tpi.pdf (ILE-VAL)
4rsk  2.10  1998   4.32  Kd=47.4uM     // 4rsk.pdf (U3P)
1olx  2.25  2003   4.33  Kd=47.1uM     // 1ols.pdf (TDP)
1e3v  2.00  2001   4.34  Kd=45.74uM    // 1e3n.pdf (DXC)
1z6s  1.50  2005   4.34  Ki=46uM       // 1z6d.pdf (AMP)
1ghv  1.85  2002   4.35  Ki=45uM       // 1ghv.pdf (120)
1yfz  2.20  2005   4.35  Ki=45uM       // 1yfz.pdf (IMP)
1dy4  1.90  2000   4.36  Ki=44uM       // 1dy4.pdf (SNP)
1we2  2.30  2005   4.36  Kd=44uM       // 1we2.pdf (DHK)
2ez7  2.00  2006   4.36  Kd=43.5uM     // 2ez7.pdf (DHI)
1bhf  1.80  1998   4.38  Kd=42uM       // 1bhf.pdf (5-mer)
2avq  1.30  2006   4.39  Ki=41uM       // 2avm.pdf (8-mer)
1no6  2.40  2003   4.41  Ki=39uM       // 1nl9.pdf (794)
1olu  1.90  2003   4.41  Kd=39.3uM     // 1ols.pdf (TDP)
2csn  2.50  1996   4.41  Ki=39uM       // 2csn.pdf (CKI)
1rgl  2.00  1993   4.43  Kd=37uM       // 1rgl.pdf (2GP)
2amt  2.30  2006   4.44  Kd=36uM       // 2amt.pdf (1AA)
1wvc  2.50  2005   4.46  Ki=35uM       // 1wvc.pdf (CTP)
1jaq  2.25  1996   4.48  Ki=33uM       // 1jao.pdf (3-mer)
1qan  2.40  2000   4.48  Ki=33uM       // 1qan.pdf (SAH)
1hi4  1.80  2001   4.49  Ki=32uM       // 1hi3.pdf (A3P)
1j14  2.40  2002   4.49  Ki=32.2uM     // 1j14.pdf (BEN)
1o7o  1.97  2003   4.49  Kd=0.032mM    // 1o7o.pdf (UDP)
1gi7  1.79  2002   4.51  Ki=31uM       // 1ghv.pdf (120)
1ctt  2.20  1995   4.52  Ki=30uM       // 1ctt.pdf (DHZ)
1gu1  1.80  2002   4.52  Ki=30uM       // 1gtz.pdf (FA1)
1mrn  2.45  2003   4.52  Ki=30uM       // 1mrn.pdf (T5A)
1z4n  1.97  2005   4.52  Ki=30uM       // 1z4n.pdf (GL1)
1z4o  1.90  2005   4.52  Ki=30uM       // 1z4n.pdf (GL1)
2a4m  2.30  2005   4.52  Kd=30uM       // 1yid.pdf (TRP)
1amw  1.85  1998   4.54  Kd=29uM       // 1a4h.pdf (ADP)
1b2h  1.90  1998   4.54  Kd=29uM       // 1b1h.pdf (3-mer)
1lyx  1.90  2003   4.54  Ki=0.029mM    // 1lyx.pdf (PGA)
1oko  1.60  2003   4.54  Kd=29uM       // 1oko.pdf (GLB)
1szd  1.50  2004   4.54  Kd=29.16uM    // 1szd.pdf (APR)
1utc  2.30  2004   4.55  Kd=28uM       // 1utc.pdf (7-mer)
1w2g  2.10  2005   4.57  Ki=27uM       // 1w2g.pdf (THM)
1bma  1.80  1995   4.59  Ki=26uM       // 1bma.pdf (4-mer)
1fj4  2.35  2000   4.59  Kd=26uM       // 1fj4.pdf (TLM)
1l2s  1.94  2002   4.59  Ki=26uM       // 1l2s.pdf (STC)
1pa9  2.00  2003   4.60  Ki=25uM       // 1pa9.pdf (CSN)
1tx7  1.75  2005   4.60  Ki=25uM       // 1tx7.pdf (4CM)
1u33  1.95  2004   4.60  Ki=25uM       // 1u2y.pdf (LM2)
1upf  2.30  1999   4.60  Ki=25uM       // 1upf.pdf (URF)
2bo4  1.95  2005   4.61  Ki=24.6uM     // 2bo4.pdf (FLC)
1f4f  2.00  2000   4.62  Ki=24uM       // 1f4c.pdf (TP3)
1joc  2.20  2001   4.62  Kd=24uM       // 1joc.pdf (ITP)
1ofz  1.50  2003   4.62  Kd=24.1uM     // 1ofz.pdf (FUL)
2a5c  2.50  2006   4.62  Kd=24uM       // 2a5b.pdf (8DA)
2f6t  1.70  2005   4.62  Ki=24uM       // 2f6t.pdf (1C2)
1bzj  2.25  1999   4.66  Ki=22uM       // 1bzc.pdf (PIC)
1h4w  1.70  2002   4.66  Ki=22uM       // 1h4w.pdf (BEN)
1m1b  2.25  2002   4.66  Ki=22uM       // 1m1b.pdf (SPV)
2ca8  2.49  2006   4.66  Kd=22uM       // 2c80.pdf (GSW)
1c5p  1.43  2000   4.68  Ki=21uM       // 1c5l.pdf (BAM)
1xge  1.90  2005   4.68  Kd=20.8uM     // 1xge.pdf (DOR)
1c5n  1.50  2000   4.70  Ki=20uM       // 1c5l.pdf (ESI)
1c86  2.30  2000   4.70  Ki=20uM       // 1c86.pdf (OPA)
2cex  2.20  2006   4.70  Kd=20uM       // 2cex.pdf (DAN)
2dw7  2.50  2006   4.70  Ki=20uM       // 2dw6.pdf (SRT)
3kiv  1.80  1999   4.70  Kd=20uM       // 3kiv.pdf (ACA)
1v2t  1.90  2004   4.71  Ki=19.56uM    // 1v2j.pdf (ANH)
1v2o  1.62  2004   4.73  Ki=18.45uM    // 1v2j.pdf (ANH)
1ce5  1.90  1999   4.74  Ki=18.4uM     // 1ce5.pdf (BEN)
1sv3  1.35  2004   4.74  Ki=18uM       // 1sv3.pdf (ANN)
1w4p  1.69  2005   4.74  Ki=18uM       // 1w4o.pdf (UM3)
1q8t  2.00  2003   4.76  Kd=17.5uM     // 1q8t.pdf (Y27)
1str  1.80  1996   4.77  Kd=17uM       // 1str.pdf (8-mer)
2afw  1.56  2005   4.77  Ki=17uM       // 2afu.pdf (AHN)
2b4l  2.00  2006   4.77  Kd=17uM       // 2b4l.pdf (BET)
2dua  2.00  2006   4.77  Ki=17uM       // 2dua.pdf (OXL)
1oss  1.93  2003   4.79  Ki=16.4uM     // 1oss.pdf (BEN)
1ghz  1.39  2002   4.80  Ki=16uM       // 1ghv.pdf (120)
1aid  2.20  1997   4.82  Ki=15uM       // 1aid.pdf (THK)
1dud  2.30  1996   4.82  Ki=15uM       // 1dud.pdf (DUD)
1v1j  2.20  2005   4.82  Ki=15uM       // 1v1j.pdf (FA3)
1xff  1.80  2004   4.82  Ki=15uM       // 1gdo.pdf (GLU)
1y3p  2.00  2005   4.82  Kd=15uM       // 1y3n.pdf (4-mer)
2gl0  2.25  2006   4.82  Kd=15uM       // 2gl0.pdf (ADN)
2gzl  2.50  2006   4.82  Kd=15uM       // 2amt.pdf (2AA)
2ypi  2.50  1991   4.82  Ki=15uM       // 2ypi.pdf (PGA)
1c83  1.80  2000   4.85  Ki=14uM       // 1c83.pdf (OAI)
1ecv  1.95  2000   4.85  Ki=14uM       // 1ecv.pdf (878)
1n51  2.30  2003   4.85  Ki=14uM       // 1n51.pdf (ATN)
1qji  2.14  2000   4.85  Ki=14uM       // 1qji.pdf (PKF)
1vkj  2.50  2004   4.85  Kd=14uM       // 1vkj.pdf (A3P)
1xgi  1.96  2005   4.85  Ki=14uM       // 1xgi.pdf (NST)
2qwd  2.00  1998   4.85  Ki=14uM       // 2qwb.pdf (4AM)
2brb  2.10  2005   4.86  Ki=13.7uM     // 2br1.pdf (PFQ)
1p1q  2.00  2003   4.89  Kd=12.8uM     // 1p1n.pdf (AMQ)
2aoc  1.30  2006   4.89  Ki=13.0uM     // 2aoc.pdf (9-mer)
2j77  2.10  2006   4.89  Kd=12.9uM     // 2j75.pdf (NOJ)
1bzc  2.35  1999   4.92  Ki=12uM       // 1bzc.pdf (TPI)
1e1v  1.95  2001   4.92  Ki=12uM       // 1e1v.pdf (CMG)
1h1p  2.10  2002   4.92  Ki=12uM       // 1h1p.pdf (CMG)
1jqy  2.14  2002   4.92  Ki=12uM       // 1jqy.pdf (A32)
1y2f  2.00  2005   4.92  Kd=12uM       // 1y2f.pdf (WAI)
1e2k  1.70  2000   4.94  Ki=11.4uM     // 1e2k.pdf (TMC)
2gss  1.90  1997   4.94  Ki=11.5uM     // 2gss.pdf (EAA)
4ts1  2.50  1989   4.94  Kd=11.6uM     // 4ts1.pdf (TYR)
1jn4  1.80  2003   4.95  Ki=11.3uM     // 1jn4.pdf (139)
1cea  2.10  1996   4.96  Kd=11uM       // 1cea.pdf (ACA)
1elr  1.90  2000   4.96  Kd=11uM       // 1elr.pdf (6-mer)
1tsy  2.20  1996   4.96  Kd=11.0uM     // 1tsv.pdf (UMP)
1uz8  1.80  2004   4.96  Kd=11uM       // 1uz8.pdf (3-mer)
1byk  2.50  1999   5.00  Kd=10uM       // 1byk.pdf (T6P)
1c84  2.35  2000   5.00  Ki=9.9uM      // 1c83.pdf (761)
1f8a  1.84  2000   5.00  Kd=10uM       // 1f8a.pdf (7-mer)
1hlk  2.50  2001   5.00  Ki=10uM       // 1hlk.pdf (113)
1nc3  2.20  2003   5.00  Ki=10uM       // 1nc1.pdf (FMC)
1oai  1.00  2003   5.00  Kd=10uM       // 1oai.pdf (9-mer)
1sts  1.95  1996   5.00  Kd=10uM       // 1str.pdf (8-mer)
1yid  2.40  2005   5.00  Kd=10uM       // 1yid.pdf (ATP)
